<PAD>	1000000000
<UNK>	1000000000
<s>	1000000000
</s>	1000000000
there	1353
the	1353
has	1335
are	1125
two	475
five	457
three	447
four	446
six	419
yellow	358
black	351
quiet	342
brown	340
red	327
white	324
blue	324
green	322
under	244
next	230
to	230
in	228
front	228
of	228
is	228
a	228
on	226
near	221
one	216
apple	214
chair	209
behind	204
car	202
table	198
window	190
box	187
tree	185
door	184
alice	179
george	174
david	171
bob	168
henry	167
charlie	167
emma	160
apples	155
birds	151
fiona	149
chairs	148
dogs	145
trees	144
cats	144
windows	143
tables	142
ducks	141
horses	141
bears	135
lions	135
cows	133
boxs	130
doors	129
cars	128
duck	35
cow	31
horse	28
lion	28
dog	28
cat	27
bird	26
bear	25
